original_output_file,folder,location,date,audiofile,template,starttime,ampcutoff,species,min.score,max.score,n.scores,speciespresent
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_074500.wav,F4,030,-21,T,-1.18,1.78,18439,None
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_074500.wav,F5,065,-21,T,-1.12,1.77,18439,None
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_074500.wav,F8,025,-21,T,-1.06,1.21,18439,None
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_074500.wav,F8,036,-21,T,-1.02,1.02,18439,None
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_074500.wav,F6,015,-21,H,-1.88,0.79,18439,None
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_074500.wav,F7,017,-21,H,-1.29,1.06,18439,None
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_074500.wav,F9,102,-21,T,-0.98,1.56,18439,None
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_080000.wav,F1,025,-21,T,-1.69,3.04,18439,Howler
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_080000.wav,F2,000,-21,T,-1.59,2.45,18439,Howler
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_080000.wav,F2,087,-21,T,-1.59,1.93,18439,Howler
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_080000.wav,F3,000,-21,T,-1.29,1.96,18439,Howler
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_080000.wav,F4,000,-21,T,-2.99,2.31,18439,Howler
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_080000.wav,F4,030,-21,T,-1.98,1.67,18439,Howler
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_080000.wav,F5,065,-21,T,-2.52,2.32,18439,Howler
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_080000.wav,F8,025,-21,T,-1.65,2.57,18439,Howler
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_080000.wav,F8,036,-21,T,-1.45,2.45,18439,Howler
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_080000.wav,F6,015,-21,H,-2.05,4.92,18439,Howler
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_080000.wav,F7,017,-21,H,-1.68,2.83,18439,Howler
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_080000.wav,F9,102,-21,T,-1.56,2.14,18439,Howler
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",16 feb 2013,HARPIA_20130216_054500.wav,F1,025,-21,T,-1.03,0.88,18439,None
