original_output_file,survey_file_name,template,starttime,ampcutoff,species,min.score,max.score,n.scores,folder,location,recording.date,audiofile
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_070000.wav ",F4,30,-25,T,-0.52,1.11,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_070000.wav ",F5,65,-25,T,-0.29,1.36,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_070000.wav ",F8,25,-25,T,-0.59,0.9,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_070000.wav ",F8,36,-25,T,-0.53,0.93,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_070000.wav ",F6,15,-25,H,-1.86,0.12,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_070000.wav ",F7,17,-25,H,-1.26,0.45,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_070000.wav ",F9,102,-25,T,-0.48,1.27,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_071500.wav ",F1,25,-25,T,-0.83,1.23,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_071500.wav ",F2,0,-25,T,-0.52,1.4,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_071500.wav ",F2,87,-25,T,-0.53,1.53,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_071500.wav ",F3,0,-25,T,-0.49,1.32,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_071500.wav ",F4,0,-25,T,-0.98,1.61,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_071500.wav ",F4,30,-25,T,-0.67,1.05,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_071500.wav ",F5,65,-25,T,-0.44,1.45,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_071500.wav ",F8,25,-25,T,-0.63,1.19,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_071500.wav ",F8,36,-25,T,-0.63,1.08,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_071500.wav ",F6,15,-25,H,-2.8,0.22,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_071500.wav ",F7,17,-25,H,-1.72,0.81,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_071500.wav ",F9,102,-25,T,-0.57,1.42,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_073000.wav ",F1,25,-25,T,-0.51,0.98,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_073000.wav ",F2,0,-25,T,-0.28,1.06,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_073000.wav ",F2,87,-25,T,-0.36,1.1,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_073000.wav ",F3,0,-25,T,-0.21,1.01,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_073000.wav ",F4,0,-25,T,-0.76,1.38,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_073000.wav ",F4,30,-25,T,-0.51,1.25,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
